name,salary_from,salary_to,salary_currency,area_name,published_at
Методолог по качеству проектной документации,,1800.0,USD,Москва,2005-09-15T16:38:55+0400
Программист Oracle,,1600.0,USD,Москва,2005-11-07T17:02:44+0300
Менеджер по закупкам IT-оборудования,,1500.0,USD,Москва,2005-08-29T11:25:25+0400
"Ассистент, Региональный менеджер",,1500.0,USD,Москва,2005-09-12T17:32:14+0400
Менеджер по работе с корпоративными заказчиками,,3000.0,USD,Санкт-Петербург,2005-10-03T17:34:39+0400
Асситент Регионального менеджера,,1500.0,USD,Москва,2005-08-29T11:45:17+0400
SEO-оптимизатор,,1000.0,USD,Москва,2005-08-29T11:45:39+0400
Программист Maconomy,,1100.0,USD,Москва,2005-09-28T12:49:30+0400
Технический инженер,,1000.0,USD,Москва,2005-09-14T13:23:07+0400
Системный администратор FreeBSD,,1200.0,USD,Москва,2005-09-14T13:23:07+0400
Программист C++,,1200.0,USD,Москва,2005-08-29T12:34:57+0400
Инженер-тестировщик программного обеспечения,,800.0,USD,Москва,2005-08-29T12:35:21+0400
Старший программист С++,,1400.0,USD,Москва,2005-08-29T12:35:48+0400
Руководитель направления продаж,,2500.0,USD,Москва,2005-11-21T08:54:06+0300
"Руководитель телекоммуникационного отдела . Код вакансии ""НВ-РС""",,1700.0,USD,Москва,2005-08-29T14:06:25+0400
Programmer,,1600.0,USD,Москва,2005-08-29T14:25:11+0400
"Программист,координатор проекта",,1000.0,USD,Москва,2005-08-29T15:41:29+0400
Программист,,1500.0,USD,Москва,2005-08-29T16:14:30+0400
Контент редактор,,600.0,USD,Москва,2005-08-29T16:27:18+0400
Специалист Отдела информационных технологий Управления Автоматизации,,1000.0,USD,Москва,2005-08-29T16:39:11+0400
IT Database Administrator (IK-R-DBA),,2500.0,USD,Москва,2005-11-21T12:05:35+0300
WEB-программист специалист Отдела информационных технологий Управления Автоматизации,,1000.0,USD,Москва,2005-09-26T14:12:01+0400
IT System Administrator (IK-R-SysAdmin),,2500.0,USD,Москва,2005-11-23T10:15:34+0300
Аналитик,,1500.0,USD,Москва,2005-08-29T17:21:03+0400
Специалист по техническому обслуживанию терминалов,,600.0,USD,Москва,2005-10-17T10:39:03+0400
"Руководитель направления программных продуктов ""1С""",,1.0,USD,Москва,2005-09-20T12:19:00+0400
Консультант по финансовому учету,,3000.0,USD,Москва,2005-09-06T18:33:59+0400
Системный администратор/помощник системного администратора,,1000.0,USD,Москва,2005-09-26T12:12:13+0400
Администратор Informix и Sybase,,2500.0,USD,Москва,2005-08-29T20:31:44+0400
System Administrator,,2500.0,USD,Москва,2005-08-29T20:33:43+0400
Image Processing Leager,,1500.0,USD,Москва,2005-08-30T09:03:58+0400
SAP FI-AA consultant,,5000.0,USD,Москва,2005-10-24T11:24:12+0400
Ассистент отдела компьютерного сервиса,,800.0,USD,Москва,2005-08-30T12:44:39+0400
Программист 1С,,1100.0,USD,Москва,2005-10-06T23:35:07+0400
SAP HR consultant,,5000.0,USD,Москва,2005-09-26T10:45:02+0400
Младший аналитик (код: JFBA-F1),,800.0,USD,Москва,2005-08-30T13:02:59+0400
Разработчик-проектировщик БД,,1400.0,USD,Москва,2005-10-24T10:55:41+0400
Разработчик .NET,,1400.0,USD,Москва,2005-10-17T12:57:58+0400
Администратор 1С,,1500.0,USD,Москва,2005-08-30T14:38:06+0400
"Программист C, Java (код: CJRP-F1)",,1000.0,USD,Москва,2005-08-30T14:46:54+0400
Тест-дизайнер,,1200.0,USD,Москва,2005-10-17T13:51:17+0400
Системный администратор,,1300.0,USD,Москва,2005-09-19T16:24:55+0400
Бизнес-аналитик в российскую торгово-производственную компанию (продукты питания),,2500.0,USD,Москва,2005-08-30T15:14:51+0400
Руководитель отдела Help-Desk (IK-M-Lead Help-Desk),,2900.0,USD,Москва,2005-08-30T15:26:09+0400
Разработчик приложений Lotus Notes/Domino / Web,,1500.0,USD,Москва,2005-08-30T15:58:02+0400
Разработчик приложений Lotus Notes/Domino / Web,,1500.0,USD,Москва,2005-08-30T16:00:29+0400
Инженер-аналитик,,1100.0,USD,Санкт-Петербург,2005-08-30T16:36:53+0400
Тестировщик,,700.0,USD,Москва,2005-12-14T11:17:45+0300
Руководитель Отдела тестирования,,1000.0,USD,Москва,2005-08-30T17:58:15+0400
Infrastructure manger CIS,,2500.0,USD,Москва,2005-08-30T18:15:58+0400
SAP FI-GL consultant,,5000.0,USD,Москва,2005-10-24T11:30:05+0400
Специалист по развитию корпоративного сегмента абонентской базы,,1000.0,USD,Москва,2005-09-05T11:16:16+0400
Специалист по настройке оборудования и компьютеров,,500.0,USD,Москва,2005-09-07T14:13:44+0400
Аналитик бизнес-процессов,,1200.0,USD,Москва,2005-09-13T14:42:21+0400
Web программист (Perl),,1700.0,USD,Москва,2005-08-31T11:08:39+0400
Ведущий специалист Управления автоматизации,,2000.0,USD,Москва,2005-11-23T10:11:39+0300
Product Manager,,3000.0,USD,Москва,2005-12-19T01:49:57+0300
Разработчик-аналитик,,1100.0,USD,Санкт-Петербург,2005-08-31T12:08:18+0400
Аналитик по автоматизации работы агентов Call Center,,2000.0,USD,Москва,2005-08-31T12:26:56+0400
Ведущий инженер проектов,,1800.0,USD,Москва,2005-08-31T12:52:16+0400
Программист PHP / MySQL,750.0,1000.0,USD,Москва,2005-10-14T11:43:14+0400
Инженер-эксперт в Управление тестирования,,900.0,USD,Москва,2005-10-17T13:51:18+0400
Ведущий инженер-эксперт в Управление тестирования,,1200.0,USD,Москва,2005-10-17T13:51:18+0400
Инженер-эксперт в Управление тестирования,,700.0,USD,Москва,2005-10-17T13:51:18+0400
Тестировщик в Управление тестирования,,900.0,USD,Москва,2005-10-17T13:51:18+0400
Эксперт по оборудованию Huawei,,1500.0,USD,Москва,2005-08-31T14:12:55+0400
Менеджер по продвижению сайта,,800.0,USD,Москва,2005-08-31T14:22:20+0400
Системный администратор,,700.0,USD,Московская область - Север,2005-11-11T14:12:56+0300
"Менеджер по развитию бизнеса, BDM (микроэлектроника)",,1500.0,USD,Москва,2005-08-31T14:52:40+0400
СИСТЕМНЫЙ АДМИНИСТРАТОР,,800.0,USD,Москва,2005-08-31T15:55:56+0400
Web-программист,,1500.0,USD,Москва,2005-08-31T17:05:23+0400
Системный администратор (SAP),,1500.0,USD,Москва,2005-09-30T11:13:16+0400
Технический писатель/Копирайтер,,800.0,USD,Россия,2005-12-19T01:49:57+0300
Системный архитектор,,3000.0,USD,Москва,2005-08-31T19:34:18+0400
Системный архитектор,,3000.0,USD,Москва,2005-09-27T10:50:02+0400
Руководитель отдела платежных терминалов (cash-in),,10000.0,USD,Москва,2005-08-31T20:42:15+0400
Редактор-переводчик,,350.0,USD,Москва,2005-09-01T10:11:57+0400
Специалист по системам АИИС КУЭ,,1200.0,USD,Москва,2005-11-17T15:03:35+0300
Data processor,,400.0,USD,Киев,2005-09-16T11:41:11+0400
Системный программист,,1700.0,USD,Москва,2005-09-01T14:04:03+0400
IT Specialist,,1000.0,USD,Санкт-Петербург,2005-11-14T13:14:13+0300
Программист для разработки ПО для LINUX,,600.0,USD,Москва,2005-09-01T15:17:57+0400
Консультант по внедрению (ассистент системного аналитика),600.0,,USD,Москва,2005-12-21T10:12:27+0300
"Менеджер по продажам. Код вакансии ""Оптималь""",,4000.0,USD,Москва,2005-09-27T11:24:53+0400
Руководитель проекта по внедрению СУ,,3000.0,USD,Москва,2005-09-01T17:19:23+0400
Старший системный администратор,,1500.0,USD,Москва,2005-09-01T17:40:01+0400
Аналитик по эффективности производства/Industrial Engineering Technician,,2100.0,USD,Москва,2005-09-27T14:27:15+0400
Аналитик по эффективности производства/Industrial Engineering Technician,,2100.0,USD,Москва,2005-09-01T18:20:29+0400
Заместитель руководителя проекта,,2200.0,USD,Москва,2005-09-14T19:30:18+0400
Региональный руководитель проекта,,3500.0,USD,Москва,2005-09-01T19:07:01+0400
Системный администратор,,1000.0,USD,Москва,2005-10-17T18:05:43+0400
Экаунт менеджер,,1000.0,USD,Москва,2005-10-18T16:17:01+0400
Руководитель проекта,,3000.0,USD,Москва,2005-09-01T19:10:33+0400
КООРДИНАТОР ПРОЕКТА,,700.0,USD,Москва,2005-09-19T09:13:17+0400
Аналитик-проектировщик системы Банк-клиент,,1500.0,USD,Москва,2005-11-14T10:07:53+0300
Специалист по сопровождению клиентов,,670.0,USD,Москва,2005-09-12T11:36:39+0400
Сервис - инженер,,700.0,USD,Санкт-Петербург,2005-09-02T10:59:46+0400
Инженер - Технолог по сертификации продукции,,600.0,USD,Москва,2005-09-02T11:01:05+0400
Ведущий консультант MS CRM,,1500.0,USD,Москва,2005-09-02T11:13:33+0400
Accountant/Reporting Analyst Oracle,,4000.0,USD,Москва,2005-09-02T11:18:50+0400
Консультант по управлению проектами,,2000.0,USD,Москва,2005-09-02T11:53:13+0400
РУКОВОДИТЕЛЬ ПРОЕКТА,,4000.0,USD,Россия,2005-10-10T13:55:28+0400
Менеджер проектов для операторов связи,,4000.0,USD,Москва,2005-09-02T13:46:52+0400
Системный администратор,,1300.0,USD,Москва,2005-09-02T13:49:38+0400
PROJECT MANAGER (ОБОРУДОВАНИЕ МОБИЛЬНОЙ СВЯЗИ) (OS-1127-GM-L),,2500.0,USD,Москва,2005-10-31T15:59:37+0300
Progect Manager,,4000.0,USD,Россия,2005-09-02T15:07:40+0400
"Portfolio Analyst, Retail Risks, Large Foreign Bank",,1500.0,USD,Москва,2005-09-02T15:22:26+0400
Тестировщик ПО,,500.0,USD,Москва,2005-09-29T11:29:37+0400
Менеджер отдела продаж банковских продуктов,,1000.0,USD,Москва,2005-09-02T16:40:22+0400
Программисты для работы над проектами embedded и realtime,,1500.0,USD,Киев,2005-09-02T16:40:33+0400
Специалист аналитического отдела,,1500.0,USD,Москва,2005-09-02T16:42:24+0400
Проектировщик банковской системы,,800.0,USD,Москва,2005-09-02T16:43:15+0400
Аналитик по банковским картам,,2000.0,USD,Москва,2005-09-02T16:43:24+0400
Специалист внедрения информационно - аналитической системы,,800.0,USD,Москва,2005-09-02T16:43:55+0400
Специалист по внедрению банковского ПО,,900.0,USD,Москва,2005-09-02T16:44:45+0400
Программист С,,900.0,USD,Москва,2005-09-29T11:29:14+0400
Специалист сопровождения программных продуктов,,600.0,USD,Москва,2005-09-02T16:47:18+0400
Копирайтер / креативный технический писатель,,900.0,USD,Москва,2005-09-29T16:34:58+0400
Технический специалист по сетям доступа,,2100.0,USD,Москва,2005-09-02T16:55:39+0400
Технический специалист по сетям доступа,,2000.0,USD,Москва,2005-09-02T17:01:36+0400
Технический специалист по магистральным сетям SDH/DWDM,,1500.0,USD,Москва,2005-09-02T17:07:03+0400
Консультант/Ведущий консультант,,2000.0,USD,Москва,2005-09-02T17:08:17+0400
Технический эксперт по магистральным сетям SDH/DWDM,,2000.0,USD,Москва,2005-09-02T17:09:34+0400
Технический специалист по сетям доступа,,2000.0,USD,Москва,2005-09-02T17:12:13+0400
Инженер-программист,,800.0,USD,Нижний Новгород,2005-09-19T10:39:51+0400
Технический координатор,,1200.0,USD,Нижний Новгород,2005-10-03T14:13:56+0400
Build менеджер,,1100.0,USD,Нижний Новгород,2005-10-03T14:13:56+0400
Инженер-программист,,800.0,USD,Нижний Новгород,2005-11-28T16:40:05+0300
Руководитель Отдела тестирования,,1000.0,USD,Москва,2005-09-05T09:32:33+0400
Программист,,700.0,USD,Москва,2005-09-05T09:36:23+0400
Программист баз данных,,700.0,USD,Москва,2005-09-05T09:37:16+0400
МЕНЕДЖЕР ПРОЕКТА,,1500.0,USD,Москва,2005-09-29T09:09:15+0400
МЕНЕДЖЕР ПРОЕКТА,,1500.0,USD,Москва,2005-09-05T09:41:31+0400
Программист-разработчик,,1500.0,USD,Москва,2005-09-05T09:44:41+0400
Менеджер по продажам,,1500.0,USD,Санкт-Петербург,2005-11-02T09:14:38+0300
Менеджер по продажам,,1500.0,USD,Санкт-Петербург,2005-09-05T09:56:56+0400
Менеджер по решениям /продукту в системный интегратор,,3000.0,USD,Москва,2005-12-14T18:47:47+0300
Аналитик в отдел поставок,,900.0,USD,Москва,2005-10-13T14:57:15+0400
Инженер по сетевым технологиям с уклоном в области безопасности,,2000.0,USD,Москва,2005-11-07T16:00:38+0300
System Testing engineer/QA,,1500.0,USD,Москва,2005-09-28T16:47:37+0400
Программист 1С,,1500.0,USD,Москва,2005-09-19T10:30:08+0400
Начальник отдела развития продуктов и технологий Управления факторинга,,3000.0,USD,Москва,2005-10-03T16:28:16+0400
ИТ Консультант,,800.0,USD,Москва,2005-09-05T11:53:41+0400
Бизнес-консультант (код: BC-BO-F),,3000.0,USD,Москва,2005-09-05T12:25:25+0400
Программист VB (код: VBCD-F1),,1200.0,USD,Москва,2005-09-05T12:29:42+0400
"Программист C++, SQL (код: CSQL-LS)",,1400.0,USD,Москва,2005-09-05T12:31:42+0400
"Администратор БД, программист (код: DBA-LS)",,1400.0,USD,Москва,2005-09-05T12:33:08+0400
Менеджер по продажам (код: SM),,2500.0,USD,Москва,2005-09-05T12:35:11+0400
Тестировщик (QA- Re),,800.0,USD,Москва,2005-09-05T12:38:49+0400
Программист C++ (код: C++ D-F1),,1200.0,USD,Москва,2005-09-05T12:40:33+0400
"Программист, разработчик ПО",,1100.0,USD,Москва,2005-09-05T12:45:22+0400
"Программист C++, SQL (код: CSQL-LS)",,1400.0,USD,Москва,2005-09-05T12:46:48+0400
Младший аналитик (код: JFBA-F1),,800.0,USD,Москва,2005-09-05T12:49:17+0400
"Программист C, Java (код: CJRP-F1)",,1000.0,USD,Москва,2005-09-05T12:51:23+0400
Менеджер отдела закупок,,2000.0,USD,Москва,2005-09-05T13:13:58+0400
Системный администратор (код: W-SA),,1500.0,USD,Москва,2005-09-05T13:14:30+0400
Аналитик по автоматизации работы агентов Call Center,,3000.0,USD,Москва,2005-09-05T13:15:17+0400
Разработчик ПО,,2000.0,USD,Москва,2005-12-19T01:49:57+0300
"Manager in OeBS, Consulting Department",,5000.0,USD,Москва,2005-10-31T13:45:49+0300
"Руководитель проектов, Новосибирск",,1600.0,USD,Новосибирск,2005-10-03T17:34:40+0400
Методолог по качеству проектной документации,,1800.0,USD,Москва,2005-09-15T16:38:55+0400
Программист Oracle,,1600.0,USD,Москва,2005-11-07T17:02:44+0300
Программист Maconomy,,1100.0,USD,Москва,2005-09-15T16:38:55+0400
Менеджер по работе с корпоративными заказчиками,,3000.0,USD,Санкт-Петербург,2005-10-03T17:34:39+0400
Руководитель сервисного центра,,1500.0,USD,Новосибирск,2005-10-03T17:34:39+0400
Менеджер по контрактам,,1200.0,USD,Владивосток,2005-10-03T17:34:39+0400
Менеджер по работе с корпоративными заказчиками,,1200.0,USD,Волгоград,2005-10-03T17:34:40+0400
Менеджер по работе с корпоративными заказчиками,,1500.0,USD,Нижний Новгород,2005-09-15T16:38:55+0400
Инженер-программист (автоматизация ФХД предприятий),800.0,1200.0,USD,Москва,2005-11-24T09:22:24+0300
"Менеджер по продажам услуг. Код вакансии: ""Д-МП"".",,5000.0,USD,Москва,2005-10-05T13:41:26+0400
Инженер,,1000.0,USD,Санкт-Петербург,2005-11-02T09:14:39+0300
Специалист по технической поддержке,,800.0,USD,Москва,2005-10-05T19:35:53+0400
Cотрудник отдела сопровождения бухгалтерского ПО,,1000.0,USD,Москва,2005-09-05T18:06:13+0400
Главный специалист Управления информационной защиты,,1400.0,USD,Москва,2005-09-05T18:09:30+0400
Системный администратор,,600.0,USD,Москва,2005-09-14T09:40:04+0400
Менеджер проекта по системной интеграции,,2000.0,USD,Москва,2005-11-03T23:38:37+0300
Руководитель отдела информационных систем,,3000.0,USD,Москва,2005-09-05T19:02:50+0400
Менеджер по региональному развитию Start Up Manager,,2000.0,USD,Москва,2005-09-05T21:35:18+0400
Программист 1С,,2000.0,USD,Москва,2005-09-22T15:49:46+0400
Менеджер электронного архива,,500.0,USD,Москва,2005-09-06T10:07:26+0400
Специалист ИТ,,700.0,USD,Москва,2005-10-12T09:27:49+0400
"Infrastructure Manager, CIS",,2000.0,USD,Москва,2005-09-06T10:27:18+0400
Специалист по информационным технологиям,,1000.0,USD,Москва,2005-09-06T10:33:01+0400
Руководитель программ в секторе FMCG по продаже ERP-систем,,6000.0,USD,Москва,2005-12-02T10:47:58+0300
Инженер-электронщик сервисного центра,350.0,600.0,USD,Киев,2005-10-06T11:37:26+0400
Администратор Helpdesk,,500.0,USD,Москва,2005-09-06T11:10:31+0400
PC Hardware Specialist,,500.0,USD,Киев,2005-09-06T11:13:17+0400
Консультант по внедрению SAP R\3 модуль FI,,3000.0,USD,Москва,2005-09-06T11:23:44+0400
Консультант по бухгалтерскому и налоговому учёту (специалист по внедрению 1С:Бухгалтерия 8.0),,1500.0,USD,Москва,2005-09-06T11:33:30+0400
ДИЗАЙНЕР,,1000.0,USD,Санкт-Петербург,2005-09-06T12:03:23+0400
Менеджер по работе с клиентами,,600.0,USD,Москва,2005-09-29T18:09:44+0400
Системный администратор,,800.0,USD,Москва,2005-09-06T12:31:52+0400
Java developer,,1500.0,USD,Москва,2005-11-02T12:04:16+0300
"Менеджер проекта (ведущая западная корпорация – телекоммуникации, мобильные терминалы)",,1100.0,USD,Москва,2005-09-06T13:10:23+0400
Руководитель проектов/инженера по презентационным (мультимедиа) системам,,1500.0,USD,Москва,2005-09-06T13:20:00+0400
Руководитель проектов/инженер по комплексным системам безопасности,,1500.0,USD,Москва,2005-09-06T13:20:32+0400
Начальник отдела инженерных систем,,2000.0,USD,Москва,2005-09-06T13:21:15+0400
Ведущий программист AS/400,,2500.0,USD,Москва,2005-09-06T13:48:30+0400
Системный администратор,,700.0,USD,Москва,2005-09-06T14:29:42+0400
Торговый Представитель,,800.0,USD,Москва,2005-09-06T14:41:53+0400
Системный аналитик,,2000.0,USD,Москва,2005-09-12T19:29:40+0400
Application Business Specialist /Project Manager Scala/SAP (IK-E-ABS),,3000.0,USD,Москва,2005-09-06T15:46:13+0400
Менеджер проектов по локализации бизнес-курсов,,600.0,USD,Москва,2005-09-13T19:44:04+0400
Системный Администратор,,1000.0,USD,Москва,2005-09-06T16:37:20+0400
Специалист по продвижению продукта,,1700.0,USD,Москва,2005-09-06T16:50:56+0400
"Разработчик С#, MS SQL",,1500.0,USD,Москва,2005-09-06T16:55:19+0400
Программист Axapta,,2000.0,USD,Москва,2005-09-06T16:56:49+0400
Менеджер по продажам услуг по заказной разработке ПО,,2500.0,USD,Москва,2005-11-29T11:17:52+0300
Инженер в департамент телекоммуникаций,600.0,,USD,Москва,2005-12-12T12:11:02+0300
Менеджер по продажам цифрового печатного оборудования,1500.0,3000.0,USD,Москва,2005-10-03T12:59:23+0400
Разработчик .NET,,1500.0,USD,Москва,2005-09-06T17:18:33+0400
Ведущий специалист (анализ и реинжениринг бизнес-процессов банка)(код вакансии E04),,1200.0,USD,Москва,2005-09-06T17:18:54+0400
Контент-менеджер,,1000.0,USD,Москва,2005-10-04T17:21:31+0400
Специалист 1С,,1200.0,USD,Москва,2005-09-06T17:43:34+0400
Администратор Интернет-сайта,,1500.0,USD,Москва,2005-09-06T17:50:50+0400
Начальник сектора контроля качества агентской сети,,1700.0,USD,Москва,2005-09-07T08:46:49+0400
Менеджер по работе с ключевыми клиентами,,3000.0,USD,Москва,2005-12-28T13:40:48+0300
Программист,,700.0,USD,Москва,2005-09-07T10:04:04+0400
Системный оператор (администратор),,400.0,USD,Москва,2005-10-07T15:33:56+0400
Техник ЭВМ,,450.0,USD,Москва,2005-09-21T10:52:56+0400
IT Officer,,1500.0,USD,Москва,2005-09-07T11:35:46+0400
Менеджер проектов,,1000.0,USD,Москва,2005-11-07T12:14:05+0300
Инженер по системам безопасности,,1000.0,USD,Москва,2005-11-07T12:14:05+0300
Инженер-электрик,,1000.0,USD,Москва,2005-11-07T12:14:05+0300
Специалист по запускам продуктов (Launch Specialist),,800.0,USD,Москва,2005-09-07T12:25:13+0400
Менеджер по мероприятиям,,900.0,USD,Москва,2005-09-16T16:27:17+0400
Тестировщик ПО,,900.0,USD,Москва,2005-09-07T13:12:33+0400
Инженер-программист,,800.0,USD,Нижний Новгород,2005-11-14T11:30:53+0300
Системный Инженер/Электротехник,,3000.0,USD,Москва,2005-09-07T15:39:39+0400
IT- директор / Технический директор (IT-компания в составе химического холдинга),,5000.0,USD,Уфа,2005-09-07T16:06:48+0400
Начальник отдела АСУ,,1600.0,USD,Екатеринбург,2005-09-07T16:10:23+0400
Менеджер по работе с клиентами,,800.0,USD,Москва,2005-09-13T19:44:29+0400
Системный администратор,,1200.0,USD,Москва,2005-09-07T16:23:04+0400
Консультант по SAP-CRM,,3000.0,USD,Москва,2005-09-07T17:14:40+0400
Руководитель проекта по внедрению SAP/R3,,3500.0,USD,Москва,2005-09-07T17:15:40+0400
Руководитель проекта по внедрению Oracle E-Business Suite,,3000.0,USD,Москва,2005-09-07T17:17:18+0400
Консультант SAP R/3 по модулю материально-техническое снабжение,,3000.0,USD,Москва,2005-09-07T17:18:14+0400
Консультант по SAP - SEM,,3000.0,USD,Москва,2005-09-07T17:19:04+0400
